case,nfe_x,nfe_t,central_doe_build_time,symbolic_doe_build_time,delta_doe_build_time,central_doe_init_time,symbolic_doe_init_time,delta_doe_init_time,central_doe_solve_time,symbolic_doe_solve_time,delta_doe_solve_time,central_ipopt_cpu_nlp_feval,symbolic_ipopt_cpu_nlp_feval,delta_ipopt_cpu_nlp_feval,central_ipopt_cpu_wo_feval,symbolic_ipopt_cpu_wo_feval,delta_ipopt_cpu_wo_feval,central_doe_wall_time,symbolic_doe_wall_time,delta_doe_wall_time,central_ipopt_iters,symbolic_ipopt_iters,delta_ipopt_iters,central_obj_eval,symbolic_obj_eval,delta_obj_eval,central_grad_eval,symbolic_grad_eval,delta_grad_eval,central_eq_con_eval,symbolic_eq_con_eval,delta_eq_con_eval,central_eq_jac_eval,symbolic_eq_jac_eval,delta_eq_jac_eval,central_hess_eval,symbolic_hess_eval,delta_hess_eval
1,2,2,0.06599120801547542,0.032881958002690226,-0.033109250012785196,0.023854541999753565,0.017909625021275133,-0.005944916978478432,0.028884499974083155,0.024150207987986505,-0.00473429198609665,0.0,0.0,0.0,0.008,0.007,-0.001,0.11873024998931214,0.07494179101195186,-0.04378845897736028,7,7,0,8,8,0,8,8,0,8,8,0,8,8,0,7,7,0
2,5,10,0.10000737500377,0.14429933397332206,0.04429195896955207,0.06612937501631677,0.042401415994390845,-0.023727959021925926,0.17387833300745115,0.17316033400129527,-0.0007179990061558783,0.0,0.0,0.0,0.131,0.13,-0.0010000000000000009,0.3400150830275379,0.3598610839690082,0.019846000941470265,15,16,1,16,17,1,16,17,1,16,17,1,16,17,1,15,16,1
3,10,20,0.1972940830164589,1.3132357919821516,1.1159417089656927,0.19588654197286814,0.20107083301991224,0.005184291047044098,0.7355870000319555,0.8417539580259472,0.10616695799399167,0.001,0.001,0.0,0.615,0.693,0.07799999999999996,1.1287676250212826,2.356060583028011,1.2272929580067284,19,18,-1,20,19,-1,20,19,-1,20,19,-1,20,19,-1,19,18,-1
4,25,40,0.8281406249734573,30.710016250028275,29.881875625054818,0.9619766669929959,2.14799587498419,1.186019207991194,8.265135708032176,13.821556499984581,5.556420791952405,0.005,0.007,0.002,7.627,11.33,3.7030000000000003,10.055252999998629,46.679568624997046,36.62431562499842,24,29,5,26,38,12,25,30,5,26,38,12,25,30,5,24,29,5
5,50,75,3.772261916019488,2034.2886184580275,2030.516356542008,3.9128546249703504,45.005808749992866,41.092954125022516,57.142720167001244,76.88007379201008,19.737353625008836,0.017,0.03,0.012999999999999998,54.174,42.633,-11.540999999999997,64.82783670799108,2156.1745010000304,2091.3466642920393,23,38,15,24,39,15,24,39,15,24,39,15,24,39,15,23,38,15
