method,N,run_id,build,discretize,solve,total
central_fd,1,1,0.065991208015475,0.023854541999753003,0.028884499974083003,0.118730249989312
symbolic,1,2,0.032881958002690004,0.017909625021275,0.024150207987986002,0.074941791011951
central_fd,1,3,0.10000737500377,0.06612937501631601,0.173878333007451,0.340015083027537
symbolic,1,4,0.144299333973322,0.042401415994390006,0.17316033400129502,0.359861083969008
central_fd,1,5,0.197294083016458,0.195886541972868,0.7355870000319551,1.128767625021282
symbolic,1,6,1.3132357919821511,0.20107083301991202,0.8417539580259471,2.356060583028011
central_fd,1,7,0.8281406249734571,0.9619766669929951,8.265135708032176,10.055252999998629
symbolic,1,8,30.710016250028275,2.14799587498419,13.821556499984581,46.679568624997046
central_fd,1,9,3.772261916019488,3.91285462497035,57.142720167001244,64.82783670799108
symbolic,1,10,2034.2886184580275,45.005808749992866,76.88007379201008,2156.1745010000304
