problem	instance	mode	solver	run_id	deriv_check	objective_option
two_param_sin	small	greybox	ipopt	two_param_sin_small_greybox_determinant	none	determinant
two_param_sin	small	greybox	ipopt	two_param_sin_small_greybox_trace	none	trace
two_param_sin	small	greybox	ipopt	two_param_sin_small_greybox_minimum_eigenvalue	none	minimum_eigenvalue
two_param_sin	small	greybox	ipopt	two_param_sin_small_greybox_condition_number	none	condition_number
4_state_reactor	small	greybox	ipopt	4_state_reactor_small_greybox_determinant	none	determinant
4_state_reactor	small	greybox	ipopt	4_state_reactor_small_greybox_trace	none	trace
4_state_reactor	small	greybox	ipopt	4_state_reactor_small_greybox_minimum_eigenvalue	none	minimum_eigenvalue
4_state_reactor	small	greybox	ipopt	4_state_reactor_small_greybox_condition_number	none	condition_number
