method,nfe_x,nfe_t,doe_build_time,doe_init_time,doe_wall_time,solve1_time,solve2_time,solve1_ipopt_iters,solve2_ipopt_iters,solve1_obj_eval,solve2_obj_eval,solve1_grad_eval,solve2_grad_eval,solve1_eq_con_eval,solve2_eq_con_eval,solve1_eq_jac_eval,solve2_eq_jac_eval,solve1_hess_eval,solve2_hess_eval,solve1_cpu_wo_feval,solve2_cpu_wo_feval,solve1_cpu_nlp_feval,solve2_cpu_nlp_feval,solve1_ipopt_exit,solve2_ipopt_exit,source_file
central,50,75,3.9340496249496937,3.967507459106855,117.04294120881241,53.771445989608765,55.369938135147095,40,24,41,25,41,25,41,25,41,25,40,24,50.045,52.389,0.029,0.017,Optimal Solution Found.,Optimal Solution Found.,solve_twice_nfe_x50_nfe_t75.json
symbolic,50,75,103.24917225004174,3.8317612500395626,216.33684723451734,53.590126037597656,55.66578769683838,40,24,41,25,41,25,41,25,41,25,40,24,50.089,52.78,0.028,0.017,Optimal Solution Found.,Optimal Solution Found.,solve_twice_nfe_x50_nfe_t75.json
