problem,instance,mode,objective_option,status,notes,n_cons,nnz_jac,nnz_hess,iters,native_obj,D_opt_report,A_opt_report,E_opt_report,ME_opt_report,wall_time_s,log_file,json_file
4st_6pmt,medium,existing,minimum_eigenvalue,unsupported,E-opt/ME-opt unsupported for central objective,105,296,74,1,0.0,,,,,0.9329481248278171,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4st_6pmt_medium_existing_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4st_6pmt_medium_existing_minimum_eigenvalue.json
4st_6pmt,medium,existing,condition_number,unsupported,E-opt/ME-opt unsupported for central objective,105,296,74,1,0.0,,,,,0.927310457918793,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4st_6pmt_medium_existing_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4st_6pmt_medium_existing_condition_number.json
4st_6pmt,medium,greybox,determinant,ok,,1533,4927,1275,1,-70.1,,3.36533415509938,-7.067826857120494e-09,-327073764884.9895,1.1235353329684585,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4st_6pmt_medium_greybox_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4st_6pmt_medium_greybox_determinant.json
4st_6pmt,medium,greybox,trace,ok,,1533,4927,1275,1,0.0,,3.36533415509938,-7.067826857120494e-09,-327073764884.9895,1.129756874870509,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4st_6pmt_medium_greybox_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4st_6pmt_medium_greybox_trace.json
4st_6pmt,medium,greybox,minimum_eigenvalue,ok,,1533,4927,1275,1,-0.0,,3.36533415509938,-7.067826857120494e-09,-327073764884.9895,1.152238667011261,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4st_6pmt_medium_greybox_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4st_6pmt_medium_greybox_minimum_eigenvalue.json
4st_6pmt,medium,greybox,condition_number,ok,,1533,4927,1275,1,3729895557605160.0,,3.36533415509938,-7.067826857120494e-09,-327073764884.9895,1.117472124984488,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4st_6pmt_medium_greybox_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4st_6pmt_medium_greybox_condition_number.json
PDE_diffusion,medium,existing,determinant,ok,,34708,99765,3877,23,4.29,4.293509611674577,4.293509611674577,19656.65483615,1.0,115.21984449983574,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_existing_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_existing_determinant.json
PDE_diffusion,medium,existing,trace,ok,,34708,99765,3877,30,4.29,4.293509611674577,4.293509611674577,19656.65483615,1.0,79.38993837498128,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_existing_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_existing_trace.json
PDE_diffusion,medium,existing,minimum_eigenvalue,unsupported,E-opt/ME-opt unsupported for central objective,15377,41977,0,1,0.0,,,,,13.280124709010124,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_existing_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_existing_minimum_eigenvalue.json
PDE_diffusion,medium,existing,condition_number,unsupported,E-opt/ME-opt unsupported for central objective,15377,41977,0,1,0.0,,,,,13.962215875042602,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_existing_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_existing_condition_number.json
PDE_diffusion,medium,greybox,determinant,ok,,34707,99611,3876,4,9.89,4.293509982240146,4.293509982240146,19656.67160837,1.0,22.95058162487112,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_greybox_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_greybox_determinant.json
PDE_diffusion,medium,greybox,trace,ok,,34707,99611,3876,4,0.0,4.293509982240146,4.293509982240146,19656.67160837,1.0,23.414980832953006,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_greybox_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_greybox_trace.json
PDE_diffusion,medium,greybox,minimum_eigenvalue,ok,,34707,99611,3876,4,19656.67,4.293509982240146,4.293509982240146,19656.67160837,1.0,21.038475666893646,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_greybox_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_greybox_minimum_eigenvalue.json
PDE_diffusion,medium,greybox,condition_number,ok,,34707,99611,3876,4,1.0,4.293509982240146,4.293509982240146,19656.67160837,1.0,21.659444167045876,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/PDE_diffusion_medium_greybox_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/PDE_diffusion_medium_greybox_condition_number.json
