problem,instance,mode,objective_option,status,notes,n_cons,nnz_jac,nnz_hess,iters,native_obj,D_opt_report,A_opt_report,E_opt_report,ME_opt_report,wall_time_s,log_file,json_file
two_param_sin,large,existing,determinant,ok,,187,633,72,29,0.9,0.897444335259078,0.8974443352590779,7.89667629,1.0,0.9940791660919785,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_existing_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_existing_determinant.json
two_param_sin,large,existing,trace,ok,,187,633,72,29,0.9,0.897444335259078,0.8974443352590779,7.89667629,1.0,1.0166657911613584,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_existing_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_existing_trace.json
two_param_sin,large,existing,minimum_eigenvalue,unsupported,E-opt/ME-opt unsupported for central objective,83,252,30,3,0.0,,,,,0.7251346670091152,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_existing_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_existing_minimum_eigenvalue.json
two_param_sin,large,existing,condition_number,unsupported,E-opt/ME-opt unsupported for central objective,83,252,30,3,0.0,,,,,0.6996690409723669,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_existing_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_existing_condition_number.json
two_param_sin,large,greybox,determinant,ok,,186,585,70,4,1.19,0.515764941310009,0.515764941310009,3.27917762,1.0,0.7793443750124425,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_greybox_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_greybox_determinant.json
two_param_sin,large,greybox,trace,ok,,186,585,70,4,0.3,0.515764941310009,0.515764941310009,3.27917762,1.0,0.7819207909051329,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_greybox_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_greybox_trace.json
two_param_sin,large,greybox,minimum_eigenvalue,ok,,186,585,70,4,3.28,0.515764941310009,0.515764941310009,3.27917762,1.0,0.7908345418982208,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_greybox_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_greybox_minimum_eigenvalue.json
two_param_sin,large,greybox,condition_number,ok,,186,585,70,4,1.0,0.515764941310009,0.515764941310009,3.27917762,1.0,0.8098642909899354,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/two_param_sin_large_greybox_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/two_param_sin_large_greybox_condition_number.json
4_state_reactor,large,existing,determinant,ok,,1598,6370,1026,23,11.32,11.318050920937942,4.9786445576546585,12.25503538553648,7236.020949294214,3.4573600839357823,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4_state_reactor_large_existing_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4_state_reactor_large_existing_determinant.json
4_state_reactor,large,existing,trace,ok,,1589,6335,1007,34,5.05,9.625949480301479,5.05118329624407,1.2153129398594815,84004.65994493115,3.956825834000483,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4_state_reactor_large_existing_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4_state_reactor_large_existing_trace.json
4_state_reactor,large,existing,minimum_eigenvalue,unsupported,E-opt/ME-opt unsupported for central objective,175,603,66,3,0.0,,,,,0.8878687079995871,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4_state_reactor_large_existing_minimum_eigenvalue.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4_state_reactor_large_existing_minimum_eigenvalue.json
4_state_reactor,large,existing,condition_number,unsupported,E-opt/ME-opt unsupported for central objective,175,603,66,3,0.0,,,,,0.8741419170983136,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4_state_reactor_large_existing_condition_number.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4_state_reactor_large_existing_condition_number.json
4_state_reactor,large,greybox,determinant,ok,,1588,6183,980,14,26.01,11.297031552856145,4.9548940722810455,12.198691708218984,6935.558978511039,2.4037103329319507,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4_state_reactor_large_greybox_determinant.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4_state_reactor_large_greybox_determinant.json
4_state_reactor,large,greybox,trace,ok,,1588,6183,980,14,0.0,11.297031552856145,4.9548940722810455,12.198691708218984,6935.558978511039,2.3896929579786956,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/logs/4_state_reactor_large_greybox_trace.log,/Users/snarasi2/projects/Pyomo_DoE_CRC/results/raw/4_state_reactor_large_greybox_trace.json
